temperature,humidity,humidity_ratio,light,co2
72.68,25.0666666666667,0.0042496103546815,428.333333333333,849.333333333333
72.68,25.2,0.0042723699287058,422.5,853.0
72.68,25.2,0.0042723699287058,423.666666666667,853.0
72.57,25.16,0.0042499210749079,424.6,852.0
72.57,25.16,0.0042499210749079,427.4,853.6
72.57,25.14,0.0042465196948245,421.8,845.6
72.55,25.1,0.0042358291516948,426.0,834.25
72.5,25.04,0.0042191777179225,421.8,826.4
72.5,25.0,0.0042123921725526,419.0,819.6
72.5,25.0,0.0042123921725526,419.0,829.6
72.5,25.0,0.0042123921725526,419.0,824.0
72.5,24.912,0.0041974644903524,419.0,814.2
72.5,24.89,0.0041937326810038,419.0,813.5
72.5,24.89,0.0041937326810038,419.0,813.8
72.5,24.89,0.0041937326810038,419.0,811.0
72.46,24.87,0.0041847041110814,419.0,804.6
72.42,24.83,0.0041723081806431,419.0,807.8
72.5,24.8566666666667,0.0041880785091658,419.0,802.333333333333
72.35,24.7475,0.0041485663655058,419.0,796.75
72.42,24.81,0.0041689249564186,419.0,794.4
72.3,24.7,0.0041335864845916,419.0,790.6
72.35,24.7225,0.0041443475474366,419.0,789.75
72.3,24.7,0.0041335864845916,419.0,782.2
72.3,25.0,0.0041841297156888,0.0,805.5
72.23,24.978,0.0041701963227552,0.0,791.4
72.18,25.0,0.004167082415804,0.0,779.333333333333
72.26,24.9725,0.0041731034537826,0.0,780.75
72.17,24.89,0.0041465078408381,0.0,781.75
72.12,24.9175,0.0041447669794061,0.0,781.0
72.12,24.912,0.004143846016637,0.0,778.4
72.07,24.8566666666667,0.0041269875633749,0.0,769.333333333333
72.06,24.85,0.0041243566010876,0.0,766.5
72.01,24.7933333333333,0.0041088413539211,0.0,763.25
72.07,24.8233333333333,0.0041214165116405,0.0,762.333333333333
71.96,24.79,0.0041007372696356,0.0,761.5
71.96,24.79,0.0041007372696356,0.0,761.0
71.96,24.736,0.0040917458809511,0.0,757.0
71.96,24.79,0.0041007372696356,0.0,752.333333333333
71.84,24.7,0.004069083657579,0.0,748.666666666667
71.78,24.7,0.0040607721003326,0.0,746.25
71.87,24.7225,0.0040769798224863,0.0,745.25
71.78,24.7,0.0040607721003326,0.0,740.666666666667
71.78,24.7,0.0040607721003326,0.0,738.0
71.84,24.7,0.004069083657579,0.0,732.666666666667
71.78,24.7,0.0040607721003326,0.0,727.0
71.78,24.675,0.0040566352014082,0.0,716.0
71.72,24.6666666666667,0.0040469709990182,0.0,723.25
71.72,24.6666666666667,0.0040469709990182,0.0,718.333333333333
71.6,24.58,0.0040161927873323,0.0,716.6
71.56,24.6,0.0040140562223397,0.0,714.0
71.56,24.56,0.0040074872493194,0.0,714.2
71.5,24.6,0.0040059300193702,0.0,715.0
71.47,24.5,0.0039850515749311,0.0,706.666666666667
71.4,24.5,0.0039760854761051,0.0,706.0
71.4,24.525,0.0039801686683372,0.0,698.75
71.4,24.5,0.0039760854761051,0.0,692.5
